SAP+NOME,UF,Semana,Mes,Ano,preço2,Mg %,Margem Líquida Real %,Preço,Vendas Reais Qtde,Vendas Reais $,Margem Líquida Real $,Venda Líquida Real $,CMV,CMV/QTD,Região,DPPsic,Cont,Produto,Correlacao,NObs,Grupo
T VISITA P BORDA DESIRE AZUL 6238,RO,1,1,2017,4.99,0.498651104335449,49.8651104335449,4.890000000000001,18.0,88.82000000000001,32.85,65.13,32.28,1.7933333333333334,Norte,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.3979539120107626,29.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,RO,1,1,2017,4.99,0.5136168888556952,51.36168888556952,4.99,14.0,69.86,26.31,51.23,24.92,1.78,Norte,1,1,T VISITA P BORDA DESIRE AGUA 6243,0.1199160976592537,27.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,RO,1,1,2017,7.99,0.4448049218359295,44.48049218359296,7.99,59.0,471.41,153.57,345.23,191.66,3.248474576271186,Norte,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.3089407587529863,45.0,0.0
JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,RO,1,1,2017,129.99,0.412592553694271,41.2592553694271,129.99,2.0,259.98,78.57,190.43,111.86,55.93,Norte,1,1,JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,-0.61949328472919,7.0,4.0
AMACIANTE COMFORT CONCENTRADO 500ML,RR,1,1,2017,7.99,0.5333383082004183,53.33383082004183,7.99,62.0,495.38,194.87,365.26,170.39,2.7482258064516127,Norte,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.7276053411876571,40.0,0.0
T VISITA P BORDA DESIRE AGUA 6243,RS,1,1,2017,4.99,0.4633986434765348,46.33986434765349,4.575714285714286,31.0,141.69,47.81,103.12,55.31,1.7841935483870968,Sul,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.245956326918622,48.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,RS,1,1,2017,7.99,0.3811565549990313,38.11565549990313,7.951122317990097,286.0,2274.14,785.3,2063.84,1274.09,4.45486013986014,Sul,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.5151302898089803,44.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,SC,1,1,2017,4.823333333333333,0.471582528949056,47.15825289490561,4.573333333333333,17.0,76.83,26.59,56.71,30.12,1.771764705882353,Sul,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.3685489015566576,42.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,SC,1,1,2017,4.99,0.5178463013090442,51.78463013090442,4.918571428571428,12.0,58.88,22.57,43.49,20.92,1.7433333333333334,Sul,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.3660269707809627,36.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,SC,1,1,2017,7.99,0.4119370374697845,41.19370374697847,7.970519480519482,171.0,1363.29,510.26,1237.24,726.98,4.251345029239766,Sul,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.5551352877782814,43.0,0.0
AMACIANTE COMFORT CONCENTRADO 500ML,SE,1,1,2017,7.989999999999999,0.4293686899415427,42.93686899415426,7.989999999999999,68.0,543.32,170.63,395.42,221.53,3.257794117647059,Nordeste,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6870304556884699,46.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,SP,1,1,2017,4.99,0.4761797308606467,47.61797308606467,4.687490244711341,150.0,705.5,245.4,512.21,266.81,1.7787333333333333,Sudeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.6174816440521946,47.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,SP,1,1,2017,4.99,0.4924934487339082,49.24934487339083,4.792830864787385,101.0,478.99,170.35,347.7,177.35,1.755940594059406,Sudeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.4852145227431317,50.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,SP,1,1,2017,7.99,0.3982260998827381,39.82260998827382,7.948022058122673,1530.0,12159.7,4396.84,11034.43,6615.79,4.324045751633987,Sudeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.8089708496621419,44.0,0.0
JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,SP,1,1,2017,128.32333333333335,0.3965375514881175,39.65375514881175,128.32333333333335,14.0,1789.86,510.0,1292.99,782.99,55.92785714285714,Sudeste,1,1,JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,-0.1367924304134409,42.0,4.0
T VISITA P BORDA DESIRE AZUL 6238,TO,1,1,2017,4.656666666666667,0.4570146352903722,45.70146352903722,4.506666666666667,18.0,77.82000000000001,24.86,56.68,31.82,1.767777777777778,Norte,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.3648094874570736,35.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,TO,1,1,2017,4.99,0.514729762825755,51.4729762825755,4.99,9.0,44.91,16.810000000000002,32.7,15.89,1.7655555555555555,Norte,1,1,T VISITA P BORDA DESIRE AGUA 6243,-0.1110400813704629,40.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,TO,1,1,2017,7.99,0.435616167768046,43.5616167768046,7.948991596638656,105.0,832.1500000000001,262.9,605.65,342.75,3.2642857142857142,Norte,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.5502724700077541,44.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,AC,2,1,2017,4.99,0.5163043478260865,51.630434782608646,4.99,2.0,9.98,3.8,7.36,3.56,1.78,Norte,1,1,T VISITA P BORDA DESIRE AZUL 6238,0.076323277697218,8.0,7.0
T VISITA P BORDA DESIRE AZUL 6238,AL,2,1,2017,4.99,0.5114090978399469,51.14090978399469,4.99,10.0,49.900000000000006,18.55,36.36,17.810000000000002,1.781,Nordeste,1,1,T VISITA P BORDA DESIRE AZUL 6238,-0.1401439818580602,26.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,AL,2,1,2017,4.99,0.5044634984456167,50.44634984456167,4.99,9.0,44.91,16.53,32.75,16.22,1.8022222222222224,Nordeste,1,1,T VISITA P BORDA DESIRE AGUA 6243,0.0007497934657309,28.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,AL,2,1,2017,7.99,0.4022491155028514,40.22491155028514,7.99,70.0,559.3,204.43,507.59,303.16,4.330857142857142,Nordeste,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.5374176303033321,44.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,AM,2,1,2017,4.790000000000001,0.5890644114165746,58.90644114165748,4.590000000000001,10.0,45.900000000000006,22.27,37.620000000000005,15.35,1.535,Norte,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.6726860785614975,38.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,AM,2,1,2017,4.99,0.5923553382233088,59.23553382233088,4.99,13.0,64.87,31.5,53.17,21.67,1.6669230769230767,Norte,1,1,T VISITA P BORDA DESIRE AGUA 6243,-0.1848391684102495,46.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,AM,2,1,2017,7.99,0.5641939672759447,56.41939672759447,7.99,72.0,575.28,324.06,575.28,251.22,3.4891666666666667,Norte,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.4496884165973329,44.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,AP,2,1,2017,4.99,0.5862937602517535,58.62937602517535,4.99,5.0,24.950000000000003,10.66,18.18,7.52,1.504,Norte,1,1,T VISITA P BORDA DESIRE AZUL 6238,-0.0587385975586891,25.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,AP,2,1,2017,4.99,0.579934851943105,57.993485194310495,4.99,4.0,19.96,8.43,14.55,6.12,1.53,Norte,1,1,T VISITA P BORDA DESIRE AGUA 6243,-0.1983910443385096,17.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,AP,2,1,2017,7.99,0.4993622036224926,49.93622036224925,7.99,54.0,431.46,195.54,391.59,196.05,3.630555555555556,Norte,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.7217463556412097,42.0,0.0
T VISITA P BORDA DESIRE AGUA 6243,BA,2,1,2017,4.99,0.4964832580170552,49.64832580170552,4.936753246753248,64.0,315.36,113.9,229.81,115.91,1.81109375,Nordeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.3492851168989713,51.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,BA,2,1,2017,7.704285714285715,0.3840456882094697,38.40456882094697,7.344647696122865,759.0,5598.61,1584.12,4073.64,2486.28,3.275731225296443,Nordeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6509435692172184,48.0,0.0
T VISITA P BORDA DESIRE AZUL 6238,CE,2,1,2017,4.99,0.4963710267439269,49.6371026743927,4.780476190476191,23.0,108.77,39.6,80.41,40.81,1.7743478260869563,Nordeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.4241575282502758,43.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,CE,2,1,2017,7.99,0.4329124675074149,43.2912467507415,7.99,274.0,2189.26,859.53,1986.79,1127.26,4.114087591240876,Nordeste,1,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.6470182868851706,42.0,0.0
JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,CE,2,1,2017,129.99,0.416666666666667,41.6666666666667,129.99,4.0,519.96,159.8,383.52,223.72,55.93,Nordeste,1,1,JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI,0.0570032230786749,44.0,4.0
T VISITA P BORDA DESIRE AZUL 6238,DF,2,1,2017,4.823333333333333,0.4657446498440916,46.57446498440917,4.587222222222222,21.0,96.79,33.29,70.57000000000001,37.28,1.7752380952380953,Centro-Oeste,0,1,T VISITA P BORDA DESIRE AZUL 6238,-0.5363074271321384,44.0,7.0
T VISITA P BORDA DESIRE AGUA 6243,DF,2,1,2017,4.99,0.5015749904446425,50.15749904446425,4.948333333333333,23.0,113.77,41.69,82.96,41.27,1.7943478260869568,Centro-Oeste,0,1,T VISITA P BORDA DESIRE AGUA 6243,-0.439145268615243,47.0,7.0
AMACIANTE COMFORT CONCENTRADO 500ML,DF,2,1,2017,7.99,0.3529501782040926,35.29501782040926,7.987402597402598,241.0,1924.79,616.81,1746.84,1120.75,4.6504149377593365,Centro-Oeste,0,1,AMACIANTE COMFORT CONCENTRADO 500ML,-0.3803056270683444,36.0,0.0
