SAP;Produto;UF;Ano;Mes;Dia;Preço;QTD;CMV/QTD;DPPsic
2158154;T VISITA P BORDA DESIRE AGUA 6243;CE;2017;1;3;4.99;4.0;1.8;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;CE;2017;1;3;7.99;53.0;4.04;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;DF;2017;1;3;4.99;3.0;1.7766666666666666;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;DF;2017;1;3;4.99;4.0;1.7925;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;DF;2017;1;3;7.99;54.0;4.645740740740741;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;ES;2017;1;3;4.39;5.0;1.762;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;ES;2017;1;3;7.96142857142857;28.0;4.598571428571428;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;GO;2017;1;3;7.99;19.0;3.26;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;MA;2017;1;3;4.24;4.0;1.78;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;MA;2017;1;3;4.65666666666667;3.0;1.7866666666666668;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MA;2017;1;3;7.99;23.0;3.2543478260869563;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;MG;2017;1;3;4.49;6.0;1.785;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MG;2017;1;3;7.9812087912088;91.0;4.41032967032967;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;MS;2017;1;3;4.13285714285714;7.0;1.66;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MS;2017;1;3;7.99;40.0;4.4625;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;MT;2017;1;3;4.99;3.0;1.78;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MT;2017;1;3;7.99;31.0;3.254516129032258;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PA;2017;1;3;4.57333333333333;12.0;1.778333333333333;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;PA;2017;1;3;4.79;5.0;1.808;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PA;2017;1;3;7.98069767441861;86.0;4.120116279069768;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;PB;2017;1;3;4.49;2.0;1.76;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;PB;2017;1;3;4.32333333333333;3.0;1.7633333333333334;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PB;2017;1;3;7.99;22.0;3.244545454545454;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;PE;2017;1;3;4.99;3.0;1.7933333333333332;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PE;2017;1;3;7.99;60.0;3.2638333333333334;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PI;2017;1;3;7.99;10.0;3.271;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PR;2017;1;3;4.79;5.0;1.7920000000000005;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PR;2017;1;3;7.99;45.0;4.434222222222222;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RJ;2017;1;3;4.615;8.0;1.76875;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RJ;2017;1;3;4.98571428571429;7.0;1.7742857142857142;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RJ;2017;1;3;7.95732793522268;247.0;4.491983805668016;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;RN;2017;1;3;4.99;4.0;1.775;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RN;2017;1;3;7.92333333333333;24.0;3.255416666666666;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RO;2017;1;3;7.99;8.0;3.24625;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RR;2017;1;3;7.99;9.0;2.7633333333333336;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RS;2017;1;3;4.54555555555556;9.0;1.7944444444444445;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RS;2017;1;3;4.19;5.0;1.778;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RS;2017;1;3;7.99;55.0;4.463454545454546;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SC;2017;1;3;7.99;23.0;4.26304347826087;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SE;2017;1;3;7.99;12.0;3.2566666666666664;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;SP;2017;1;3;4.67;25.0;1.758;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;SP;2017;1;3;4.82333333333333;6.0;1.76;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SP;2017;1;3;7.98051724137932;232.0;4.3461637931034485;0
4263231;JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI;SP;2017;1;3;119.99;3.0;55.93;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;TO;2017;1;3;7.94294117647059;17.0;3.2623529411764705;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AL;2017;1;4;7.82333333333333;6.0;4.303333333333334;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AM;2017;1;4;7.99;13.0;3.5053846153846155;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;BA;2017;1;4;4.80818181818182;11.0;1.7863636363636362;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;BA;2017;1;4;4.91857142857143;14.0;1.8057142857142856;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;BA;2017;1;4;7.99;152.0;3.260263157894737;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;CE;2017;1;4;4.65666666666667;6.0;1.7816666666666665;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;CE;2017;1;4;4.99;7.0;1.7671428571428571;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;CE;2017;1;4;7.99;49.0;4.113877551020408;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;DF;2017;1;4;4.99;3.0;1.78;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;DF;2017;1;4;4.99;4.0;1.78;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;DF;2017;1;4;7.99;41.0;4.656829268292683;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;ES;2017;1;4;7.99;26.0;4.600769230769231;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;GO;2017;1;4;7.91;25.0;3.2676;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MA;2017;1;4;7.958;25.0;3.2704000000000004;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;MG;2017;1;4;4.365;8.0;1.78;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MG;2017;1;4;8.00666666666667;120.0;4.442666666666667;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MS;2017;1;4;7.99;51.0;4.461372549019608;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;MT;2017;1;4;4.84714285714286;7.0;1.8257142857142856;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MT;2017;1;4;7.99;30.0;3.254;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PA;2017;1;4;4.84714285714286;7.0;1.78;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;PA;2017;1;4;4.83615384615385;13.0;1.786923076923077;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PA;2017;1;4;7.99;72.0;4.112638888888889;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PB;2017;1;4;4.99;3.0;1.76;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PB;2017;1;4;7.99;16.0;3.243125;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;PE;2017;1;4;4.65666666666667;3.0;1.75;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PE;2017;1;4;7.99;71.0;3.2581690140845074;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PI;2017;1;4;7.865;8.0;3.2725;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;PR;2017;1;4;4.65666666666667;3.0;1.7733333333333334;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PR;2017;1;4;7.97139534883721;43.0;4.429767441860465;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;RJ;2017;1;4;4.71727272727273;11.0;1.7863636363636362;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RJ;2017;1;4;4.99;7.0;1.7957142857142858;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RJ;2017;1;4;7.9620888888889;225.0;4.493955555555556;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RN;2017;1;4;7.99;27.0;3.2614814814814816;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RO;2017;1;4;4.49;2.0;1.795;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RR;2017;1;4;7.99;12.0;2.7325;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RS;2017;1;4;4.41857142857143;7.0;1.782857142857143;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RS;2017;1;4;4.32333333333333;3.0;1.7333333333333334;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RS;2017;1;4;7.99;43.0;4.442790697674418;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;SC;2017;1;4;3.99;3.0;1.71;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SC;2017;1;4;7.99;28.0;4.216785714285714;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SE;2017;1;4;7.99;9.0;3.2633333333333336;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;SP;2017;1;4;4.56692307692308;26.0;1.7726923076923078;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;SP;2017;1;4;4.79;10.0;1.723;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SP;2017;1;4;7.96565217391305;230.0;4.350913043478261;0
4263231;JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI;SP;2017;1;4;129.99;5.0;55.926;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;TO;2017;1;4;4.09;10.0;1.775;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;TO;2017;1;4;7.99;13.0;3.257692307692308;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AL;2017;1;5;7.99;24.0;4.303333333333334;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;AM;2017;1;5;4.99;2.0;1.57;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AM;2017;1;5;7.99;10.0;3.383;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AP;2017;1;5;7.99;13.0;3.6361538461538463;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;BA;2017;1;5;4.29;10.0;1.779;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;BA;2017;1;5;4.32333333333333;6.0;1.805;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;BA;2017;1;5;7.98270072992701;137.0;3.261897810218978;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;CE;2017;1;5;4.74;4.0;1.765;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;CE;2017;1;5;7.93;50.0;3.9988;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;DF;2017;1;5;4.99;6.0;1.778333333333333;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;DF;2017;1;5;4.99;3.0;1.7699999999999998;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;DF;2017;1;5;7.99;46.0;4.649782608695652;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;ES;2017;1;5;4.32333333333333;3.0;1.7766666666666666;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;ES;2017;1;5;7.99;44.0;4.593409090909091;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;GO;2017;1;5;7.99;22.0;3.263181818181818;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;MA;2017;1;5;4.99;6.0;1.8;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MA;2017;1;5;7.99;25.0;3.2612;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;MG;2017;1;5;4.99;4.0;1.805;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MG;2017;1;5;8.01666666666667;75.0;4.423866666666667;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;MS;2017;1;5;4.99;3.0;1.7666666666666666;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MS;2017;1;5;7.99;37.0;4.464594594594595;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;MT;2017;1;5;4.99;4.0;1.8175;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MT;2017;1;5;7.99;38.0;3.2557894736842106;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;PA;2017;1;5;4.84714285714286;7.0;1.8042857142857145;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PA;2017;1;5;7.99;71.0;4.1256338028169015;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PB;2017;1;5;4.99;2.0;1.715;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PB;2017;1;5;7.99;16.0;3.248125;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PE;2017;1;5;4.24;8.0;1.78375;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;PE;2017;1;5;4.99;4.0;1.8025;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PE;2017;1;5;7.9743137254902;51.0;3.264117647058824;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;PI;2017;1;5;4.99;3.0;1.7766666666666666;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PI;2017;1;5;7.99;8.0;3.26875;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;PR;2017;1;5;4.65666666666667;3.0;1.7933333333333332;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PR;2017;1;5;7.97;40.0;4.438000000000001;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;RJ;2017;1;5;4.82333333333334;12.0;1.7858333333333334;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RJ;2017;1;5;4.80818181818182;11.0;1.7736363636363637;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RJ;2017;1;5;8.00136029411765;272.0;4.489191176470588;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;RN;2017;1;5;4.99;2.0;1.775;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RN;2017;1;5;7.99;25.0;3.2676;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RO;2017;1;5;4.99;6.0;1.79;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;RO;2017;1;5;4.99;6.0;1.78;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RR;2017;1;5;7.99;10.0;2.7510000000000003;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RS;2017;1;5;4.80818181818182;11.0;1.7909090909090908;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RS;2017;1;5;4.39;5.0;1.7760000000000002;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RS;2017;1;5;7.99;37.0;4.48945945945946;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SC;2017;1;5;7.99;30.0;4.269;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SE;2017;1;5;7.99;9.0;3.2544444444444443;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;SP;2017;1;5;4.92103448275862;29.0;1.7886206896551724;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;SP;2017;1;5;4.78166666666667;24.0;1.7433333333333334;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;SP;2017;1;5;7.81135922330098;206.0;4.342378640776699;0
4263231;JG CAMA QUEEN PRATA 150FIOS MALIBU SANTI;SP;2017;1;5;129.99;2.0;55.93;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;TO;2017;1;5;4.99;3.0;1.75;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;TO;2017;1;5;7.99;8.0;3.27;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;AL;2017;1;6;4.99;3.0;1.7666666666666666;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;AL;2017;1;6;4.99;2.0;1.655;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;AL;2017;1;6;7.99;10.0;4.33;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;BA;2017;1;6;4.35363636363637;11.0;1.7754545454545456;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;BA;2017;1;6;4.99;8.0;1.815;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;BA;2017;1;6;7.99;121.0;3.256115702479339;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;CE;2017;1;6;4.74;4.0;1.7575;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;CE;2017;1;6;7.99;38.0;4.1215789473684215;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;DF;2017;1;6;4.99;4.0;1.7775;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;DF;2017;1;6;4.99;7.0;1.8128571428571427;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;DF;2017;1;6;7.99;41.0;4.647317073170732;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;ES;2017;1;6;7.99;35.0;4.594571428571428;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;GO;2017;1;6;4.99;4.0;1.8;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;GO;2017;1;6;7.99;20.0;3.2635;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;MA;2017;1;6;4.74;8.0;1.74625;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;MA;2017;1;6;4.99;4.0;1.775;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MA;2017;1;6;7.99;17.0;3.2676470588235293;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MG;2017;1;6;7.99;117.0;4.44025641025641;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;MS;2017;1;6;4.74;4.0;1.7175;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MS;2017;1;6;7.99;49.0;4.462244897959184;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;MT;2017;1;6;4.99;7.0;1.78;1
2158154;T VISITA P BORDA DESIRE AGUA 6243;MT;2017;1;6;4.99;5.0;1.83;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;MT;2017;1;6;7.99;29.0;3.256206896551725;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;PA;2017;1;6;4.54555555555556;9.0;1.78;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;PA;2017;1;6;4.99;6.0;1.79;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PA;2017;1;6;7.97974358974359;78.0;4.110128205128205;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PB;2017;1;6;7.99;23.0;3.245652173913044;1
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PE;2017;1;6;7.97684210526316;76.0;3.2661842105263155;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;PR;2017;1;6;4.24;4.0;1.7825;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;PR;2017;1;6;4.79;5.0;1.7760000000000002;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;PR;2017;1;6;7.96333333333333;30.0;4.432;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;RJ;2017;1;6;4.35842105263158;19.0;1.7757894736842106;0
2158154;T VISITA P BORDA DESIRE AGUA 6243;RJ;2017;1;6;4.82333333333334;12.0;1.7775;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RJ;2017;1;6;7.98935960591134;203.0;4.491231527093596;0
2158151;T VISITA P BORDA DESIRE AZUL 6238;RN;2017;1;6;4.49;2.0;1.77;0
4243420;AMACIANTE COMFORT CONCENTRADO 500ML;RN;2017;1;6;7.99;16.0;3.25625;1
2158151;T VISITA P BORDA DESIRE AZUL 6238;RO;2017;1;6;4.99;3.0;1.8;1
